metro,zip,npi_providers,npi_locations
Mississippi / Alabama,39216,44,12
Mississippi / Alabama,39232,16,10
Mississippi / Alabama,39301,12,6
Mississippi / Alabama,39305,7,3
Mississippi / Alabama,39339,1,1
Mississippi / Alabama,39367,2,2
Mississippi / Alabama,39401,8,3
Mississippi / Alabama,39402,12,5
Mississippi / Alabama,39440,6,3
Mississippi / Alabama,39465,7,3
Mississippi / Alabama,39466,2,2
Mississippi / Alabama,39501,9,5
Mississippi / Alabama,39503,3,3
Mississippi / Alabama,39520,1,1
Mississippi / Alabama,39531,2,2
Mississippi / Alabama,39532,6,3
Mississippi / Alabama,39534,2,2
Mississippi / Alabama,39553,2,2
Mississippi / Alabama,39564,9,5
Mississippi / Alabama,39648,3,1
Mississippi / Alabama,39652,1,1
Mississippi / Alabama,39705,6,5
Mississippi / Alabama,39759,1,1
Ohio (Columbus/Cleveland),43015,2,2
Ohio (Columbus/Cleveland),43016,14,12
Ohio (Columbus/Cleveland),43017,18,13
Ohio (Columbus/Cleveland),43023,4,3
Ohio (Columbus/Cleveland),43026,5,2
Ohio (Columbus/Cleveland),43040,5,3
Ohio (Columbus/Cleveland),43054,7,5
Ohio (Columbus/Cleveland),43055,8,7
Ohio (Columbus/Cleveland),43056,1,1
Ohio (Columbus/Cleveland),43062,2,2
Ohio (Columbus/Cleveland),43065,5,5
Ohio (Columbus/Cleveland),43074,3,2
Ohio (Columbus/Cleveland),43078,1,1
Ohio (Columbus/Cleveland),43081,14,6
Ohio (Columbus/Cleveland),43082,27,8
Ohio (Columbus/Cleveland),43085,1,1
Ohio (Columbus/Cleveland),43113,1,1
Ohio (Columbus/Cleveland),43123,5,5
Ohio (Columbus/Cleveland),43130,5,3
Ohio (Columbus/Cleveland),43147,2,2
Ohio (Columbus/Cleveland),43160,2,2
Ohio (Columbus/Cleveland),43201,2,2
Ohio (Columbus/Cleveland),43203,1,1
Ohio (Columbus/Cleveland),43205,8,2
Ohio (Columbus/Cleveland),43209,4,1
Ohio (Columbus/Cleveland),43210,5,4
Ohio (Columbus/Cleveland),43212,35,7
Ohio (Columbus/Cleveland),43213,12,6
Ohio (Columbus/Cleveland),43214,13,10
Ohio (Columbus/Cleveland),43215,11,9
Ohio (Columbus/Cleveland),43219,3,2
Ohio (Columbus/Cleveland),43220,21,12
Ohio (Columbus/Cleveland),43221,11,9
Ohio (Columbus/Cleveland),43222,1,1
Ohio (Columbus/Cleveland),43228,2,1
Ohio (Columbus/Cleveland),43230,25,13
Ohio (Columbus/Cleveland),43235,2,1
Ohio (Columbus/Cleveland),43240,1,1
Ohio (Columbus/Cleveland),43302,4,2
Ohio (Columbus/Cleveland),43311,1,1
Ohio (Columbus/Cleveland),44001,1,1
Ohio (Columbus/Cleveland),44004,3,3
Ohio (Columbus/Cleveland),44011,7,6
Ohio (Columbus/Cleveland),44012,1,1
Ohio (Columbus/Cleveland),44022,1,1
Ohio (Columbus/Cleveland),44023,2,2
Ohio (Columbus/Cleveland),44024,1,1
Ohio (Columbus/Cleveland),44035,5,4
Ohio (Columbus/Cleveland),44053,3,3
Ohio (Columbus/Cleveland),44060,9,7
Ohio (Columbus/Cleveland),44067,5,3
Ohio (Columbus/Cleveland),44072,1,1
Ohio (Columbus/Cleveland),44077,6,4
Ohio (Columbus/Cleveland),44087,4,2
Ohio (Columbus/Cleveland),44094,4,4
Ohio (Columbus/Cleveland),44106,43,8
Ohio (Columbus/Cleveland),44107,2,2
Ohio (Columbus/Cleveland),44109,25,1
Ohio (Columbus/Cleveland),44111,1,1
Ohio (Columbus/Cleveland),44112,1,1
Ohio (Columbus/Cleveland),44115,1,1
Ohio (Columbus/Cleveland),44116,1,1
Ohio (Columbus/Cleveland),44118,3,2
Ohio (Columbus/Cleveland),44121,4,2
Ohio (Columbus/Cleveland),44122,32,22
Ohio (Columbus/Cleveland),44124,32,18
Ohio (Columbus/Cleveland),44125,2,1
Ohio (Columbus/Cleveland),44126,3,2
Ohio (Columbus/Cleveland),44129,1,1
Ohio (Columbus/Cleveland),44130,3,3
Ohio (Columbus/Cleveland),44131,12,8
Ohio (Columbus/Cleveland),44132,1,1
Ohio (Columbus/Cleveland),44133,3,1
Ohio (Columbus/Cleveland),44134,3,2
Ohio (Columbus/Cleveland),44136,7,4
Ohio (Columbus/Cleveland),44137,1,1
Ohio (Columbus/Cleveland),44139,2,2
Ohio (Columbus/Cleveland),44141,6,5
Ohio (Columbus/Cleveland),44143,6,3
Ohio (Columbus/Cleveland),44145,32,18
Ohio (Columbus/Cleveland),44146,2,2
Ohio (Columbus/Cleveland),44147,4,3
Ohio (Columbus/Cleveland),44195,87,17
Dallas (DFW),75001,7,2
Dallas (DFW),75006,1,1
Dallas (DFW),75009,3,3
Dallas (DFW),75010,5,3
Dallas (DFW),75013,11,8
Dallas (DFW),75019,5,4
Dallas (DFW),75020,6,4
Dallas (DFW),75022,1,1
Dallas (DFW),75023,1,1
Dallas (DFW),75024,23,14
Dallas (DFW),75025,2,2
Dallas (DFW),75028,12,6
Dallas (DFW),75032,7,3
Dallas (DFW),75033,11,4
Dallas (DFW),75034,19,17
Dallas (DFW),75035,9,7
Dallas (DFW),75038,2,1
Dallas (DFW),75039,2,1
Dallas (DFW),75040,1,1
Dallas (DFW),75042,5,2
Dallas (DFW),75043,5,3
Dallas (DFW),75052,3,2
Dallas (DFW),75054,1,1
Dallas (DFW),75056,3,2
Dallas (DFW),75057,13,7
Dallas (DFW),75061,6,4
Dallas (DFW),75063,3,3
Dallas (DFW),75068,1,1
Dallas (DFW),75069,3,1
Dallas (DFW),75070,10,8
Dallas (DFW),75071,14,7
Dallas (DFW),75075,4,3
Dallas (DFW),75078,9,6
Dallas (DFW),75080,9,7
Dallas (DFW),75081,3,2
Dallas (DFW),75082,7,4
Dallas (DFW),75087,2,2
Dallas (DFW),75088,2,1
Dallas (DFW),75090,6,3
Dallas (DFW),75092,4,2
Dallas (DFW),75093,62,29
Dallas (DFW),75094,1,1
Dallas (DFW),75104,5,4
Dallas (DFW),75110,7,6
Dallas (DFW),75115,1,1
Dallas (DFW),75116,2,1
Dallas (DFW),75126,1,1
Dallas (DFW),75146,2,1
Dallas (DFW),75150,7,4
Dallas (DFW),75165,3,2
Dallas (DFW),75182,1,1
Dallas (DFW),75203,3,2
Dallas (DFW),75204,7,4
Dallas (DFW),75205,6,5
Dallas (DFW),75206,1,1
Dallas (DFW),75207,1,1
Dallas (DFW),75208,5,4
Dallas (DFW),75209,3,2
Dallas (DFW),75214,3,2
Dallas (DFW),75218,5,4
Dallas (DFW),75219,8,7
Dallas (DFW),75225,16,11
Dallas (DFW),75230,47,21
Dallas (DFW),75231,72,35
Dallas (DFW),75233,2,2
Dallas (DFW),75234,5,4
Dallas (DFW),75235,20,14
Dallas (DFW),75240,4,3
Dallas (DFW),75243,6,6
Dallas (DFW),75246,31,12
Dallas (DFW),75247,6,4
Dallas (DFW),75248,2,1
Dallas (DFW),75251,11,8
Dallas (DFW),75252,1,1
Dallas (DFW),75287,3,2
Dallas (DFW),75382,1,1
Dallas (DFW),75390,49,15
Dallas (DFW),75401,2,2
Dallas (DFW),75402,2,1
Dallas (DFW),75418,1,1
Dallas (DFW),75455,3,2
Dallas (DFW),75460,2,2
Dallas (DFW),75462,1,1
Dallas (DFW),75474,2,1
Dallas (DFW),75482,1,1
Dallas (DFW),75494,2,1
Dallas (DFW),75495,1,1
Dallas (DFW),76001,2,1
Dallas (DFW),76005,2,1
Dallas (DFW),76006,1,1
Dallas (DFW),76010,1,1
Dallas (DFW),76011,3,2
Dallas (DFW),76012,17,10
Dallas (DFW),76013,3,2
Dallas (DFW),76014,7,4
Dallas (DFW),76015,6,5
Dallas (DFW),76016,1,1
Dallas (DFW),76017,3,3
Dallas (DFW),76021,1,1
Dallas (DFW),76022,8,4
Dallas (DFW),76026,1,1
Dallas (DFW),76028,6,4
Dallas (DFW),76033,1,1
Dallas (DFW),76034,7,6
Dallas (DFW),76036,1,1
Dallas (DFW),76040,5,4
Dallas (DFW),76048,3,2
Dallas (DFW),76051,12,8
Dallas (DFW),76053,1,1
Dallas (DFW),76054,3,1
Dallas (DFW),76063,6,4
Dallas (DFW),76065,1,1
Dallas (DFW),76073,1,1
Dallas (DFW),76078,1,1
Dallas (DFW),76086,3,3
Dallas (DFW),76092,28,21
Dallas (DFW),76104,56,29
Dallas (DFW),76107,12,9
Dallas (DFW),76109,12,9
Dallas (DFW),76110,1,1
Dallas (DFW),76112,1,1
Dallas (DFW),76126,2,1
Dallas (DFW),76131,2,1
Dallas (DFW),76132,19,10
Dallas (DFW),76133,1,1
Dallas (DFW),76135,1,1
Dallas (DFW),76137,2,2
Dallas (DFW),76140,1,1
Dallas (DFW),76180,2,2
Dallas (DFW),76182,6,4
Dallas (DFW),76201,12,7
Dallas (DFW),76205,1,1
Dallas (DFW),76210,12,6
Dallas (DFW),76240,2,2
Dallas (DFW),76244,8,3
Houston / South Texas,77002,6,3
Houston / South Texas,77004,23,15
Houston / South Texas,77005,10,8
Houston / South Texas,77006,5,4
Houston / South Texas,77007,9,4
Houston / South Texas,77008,19,9
